Education_Level,Line_Number,Employed,Unemployed,Industry,Gender,Date_Inserted,dense_rank,Max_Salary_USD
Graduate,1517,396621,29751,Manufacturing,Male,6/1/2003,239,100000
High School Diploma,1106,3241600,243200,Education,Male,9/1/2015,240,70000
High School Diploma,1274,3241600,243200,Manufacturing,Male,3/1/2020,240,70000
High School Diploma,1310,3241600,243200,Technology,Male,12/1/2020,240,70000
High School Diploma,1162,3241600,243200,Agriculture,Male,11/1/2016,240,70000
College,1335,3241600,243200,Education,Male,11/1/1995,240,100000
Bachelor's Degree,1334,3240200,243100,Retail,Female,10/1/1995,241,120000
Bachelor's Degree,1354,4142000,311000,Retail,Female,9/1/1996,242,120000
College,1476,3738191,281207,Finance,Female,1/1/2001,243,100000
Bachelor's Degree,624,148800,11200,Energy,Male,9/1/2005,244,120000
Bachelor's Degree,361,106950,8050,Retail,Female,3/1/2000,244,120000
Bachelor's Degree,123,106950,8050,Retail,Female,3/1/1995,244,120000
Master's Degree,310,148800,11200,Healthcare,Male,2/1/1999,244,150000
Associate's Degree,253,5115000,385000,Education,Female,12/1/1997,244,90000
College,1145,11588200,872700,Hospitality,Female,7/1/2016,245,100000
High School,1333,3237700,243900,Technology,Male,9/1/1995,246,70000
Associate's Degree,628,169240,12760,Hospitality,Male,10/1/2005,247,90000
Bachelor's Degree,1477,3735572,281699,Education,Male,2/1/2001,248,120000
High School Diploma,243,8626000,651000,Wholesale Trade,Male,9/1/1997,249,70000
Associate's Degree,232,8626000,651000,Education,Female,7/1/1997,249,90000
Master's Degree,1332,3235200,244700,Financial Services,Female,8/1/1995,250,150000
College,1331,3233800,245000,Healthcare,Male,7/1/1995,251,100000
Bachelor's Degree,724,213800,16200,Healthcare,Male,10/1/2007,252,120000
Bachelor's Degree,1330,3232900,245200,Education,Female,6/1/1995,253,120000
High School,1329,3231600,245200,Retail,Male,5/1/1995,254,70000
High School Diploma,305,369000,28000,Retail,Female,1/1/1999,255,70000
High School Diploma,1210,11534800,876100,Technology,Male,11/1/2017,256,70000
High School Diploma,1298,11534800,876100,Retail,Male,10/1/2020,256,70000
Bachelor's Degree,1157,11534800,876100,Health Care,Female,10/1/2016,256,120000
High School Diploma,1170,11534800,876100,Retail,Male,1/1/2017,256,70000
Associate's Degree,221,6332000,481000,Retail,Male,4/1/1997,257,90000
Bachelor's Degree,1235,3230100,245500,Manufacturing,Female,5/1/2019,258,120000
Master's Degree,1328,3230100,245500,Technology,Female,4/1/1995,258,150000
High School Diploma,1130,3230100,245500,Technology,Male,3/1/2016,258,70000
Master's Degree,1271,3230100,245500,Agriculture,Female,2/1/2020,258,150000
Bachelor's Degree,1158,3230100,245500,Professional and Business S.,Male,10/1/2016,258,120000
College,1327,3228100,245600,Healthcare,Male,3/1/1995,259,100000
Associate's Degree,620,131960,10040,Hospitality,Male,8/1/2005,260,90000
Bachelor's Degree,1489,92000,7000,Retail,Male,2/1/2002,261,120000
Bachelor's Degree,1229,12419000,945700,Retail,Female,4/1/2019,262,120000
Bachelor's Degree,1326,3225400,245900,Financial Services,Female,2/1/1995,263,120000
High School,1398,3111020,237180,Retail,Female,2/1/1998,264,70000
Bachelor's Degree,716,204400,15600,Energy,Male,8/1/2007,265,120000
Bachelor's Degree,1399,3114160,237740,Education,Male,3/1/1998,266,120000
College,1397,3108210,237390,Manufacturing,Male,1/1/1998,267,100000
High School Diploma,261,9169500,700500,Retail,Female,2/1/1998,268,70000
Master's Degree,262,9169500,700500,Healthcare,Male,2/1/1998,268,150000
Master's Degree,250,9169500,700500,Healthcare,Male,11/1/1997,268,150000
High School,1161,11566700,883800,Construction,Female,11/1/2016,269,70000
High School,1325,3222600,246300,Education,Male,1/1/1995,270,70000
Bachelor's Degree,1165,11594100,886800,Technology,Female,12/1/2016,271,120000
Master's Degree,1400,3117250,238550,Healthcare,Female,4/1/1998,272,150000
Bachelor's Degree,720,209000,16000,Hospitality,Male,9/1/2007,273,120000
College,1141,11528100,882800,Retail,Female,6/1/2016,274,100000
High School,1149,11611300,889200,Financial Services,Female,8/1/2016,275,70000
Master's Degree,360,120750,9250,Manufacturing,Male,3/1/2000,276,150000
Master's Degree,122,120750,9250,Manufacturing,Male,3/1/1995,276,150000
High School Diploma,269,5944000,456000,Agriculture,Female,4/1/1998,277,70000
High School Diploma,312,5944000,456000,Wholesale Trade,Female,3/1/1999,277,70000
Associate's Degree,267,5944000,456000,Education,Female,3/1/1998,277,90000
College,1052,378000,29000,Hospitality,Male,8/1/2014,278,100000
Associate's Degree,955,378000,29000,Professional and Business S.,Female,7/1/2012,278,90000
Master's Degree,759,378000,29000,Manufacturing,Female,6/1/2008,278,150000
High School,848,378000,29000,Hospitality,Male,5/1/2010,278,70000
Associate's Degree,563,378000,29000,"Trade, Transportation, Util.",Female,5/1/2004,278,90000
Associate's Degree,591,378000,29000,Finance,Female,12/1/2004,278,90000
Master's Degree,1307,378000,29000,Agriculture,Female,11/1/2020,278,150000
Bachelor's Degree,1112,378000,29000,Manufacturing,Male,11/1/2015,278,120000
High School Diploma,39,378000,29000,Retail,Female,10/1/1998,278,70000
High School Diploma,293,378000,29000,Retail,Female,10/1/1998,278,70000
College,1401,3120240,239460,Financial Services,Male,5/1/1998,279,100000
Graduate,1521,406936,31256,Manufacturing,Male,10/1/2003,280,100000
Master's Degree,1490,91000,7000,Healthcare,Female,3/1/2002,281,150000
College,1520,404209,31120,Manufacturing,Female,9/1/2003,282,100000
High School,1402,3122690,240510,Manufacturing,Female,6/1/1998,283,70000
Bachelor's Degree,237,6923000,534000,Healthcare,Male,8/1/1997,284,120000
Bachelor's Degree,1403,3125060,241440,Retail,Male,7/1/1998,285,120000
Master's Degree,296,568000,44000,Healthcare,Male,11/1/1998,286,150000
Associate's Degree,712,208800,16200,Manufacturing,Male,7/1/2007,287,90000
Master's Degree,1404,3127310,242690,Education,Female,8/1/1998,288,150000
College,1518,399066,30971,Manufacturing,Female,7/1/2003,289,100000
Master's Degree,308,541000,42000,Healthcare,Male,2/1/1999,290,150000
High School Diploma,281,425000,33000,Finance,Female,7/1/1998,291,70000
College,1519,401688,31195,Manufacturing,Male,8/1/2003,292,100000
Bachelor's Degree,225,6833000,531000,Energy,Male,5/1/1997,293,120000
Bachelor's Degree,210,6833000,531000,Wholesale Trade,Male,1/1/1997,293,120000
Associate's Degree,265,5196000,404000,Education,Female,3/1/1998,294,90000
High School Diploma,236,9021000,702000,Manufacturing,Female,8/1/1997,295,70000
High School Diploma,238,9021000,702000,Manufacturing,Female,8/1/1997,295,70000
High School Diploma,219,9021000,702000,Healthcare,Male,3/1/1997,295,70000
Associate's Degree,255,9021000,702000,Education,Female,12/1/1997,295,90000
Bachelor's Degree,297,334000,26000,Manufacturing,Female,11/1/1998,296,120000
College,1225,12364600,962700,Construction,Female,3/1/2019,297,100000
College,1405,3129840,243860,Healthcare,Male,9/1/1998,298,100000
High School Diploma,616,180900,14100,Agriculture,Male,7/1/2005,299,70000
Associate's Degree,240,8558000,668000,Energy,Female,9/1/1997,300,90000
Master's Degree,220,8558000,668000,Manufacturing,Female,4/1/1997,300,150000
Bachelor's Degree,629,89040,6960,Energy,Female,10/1/2005,301,120000
High School,1406,3132460,244940,Financial Services,Female,10/1/1998,302,70000
College,1164,14392500,1126400,Manufacturing,Male,12/1/2016,303,100000
Bachelor's Degree,304,740000,58000,Agriculture,Male,1/1/1999,304,120000
Bachelor's Degree,1407,3134840,246160,Manufacturing,Male,11/1/1998,305,120000
High School,1144,14351200,1127700,Energy,Male,7/1/2016,306,70000
Bachelor's Degree,1160,14350900,1128000,Financial Services,Male,11/1/2016,307,120000
Associate's Degree,1156,14340700,1128200,Manufacturing,Male,10/1/2016,308,90000
Bachelor's Degree,692,157600,12400,Energy,Male,2/1/2007,309,120000
Master's Degree,1408,3137260,247240,Retail,Female,12/1/1998,310,150000
Associate's Degree,301,279000,22000,Energy,Female,12/1/1998,311,90000
High School,1140,14301100,1127800,Technology,Male,6/1/2016,312,70000
College,1522,410034,32367,Manufacturing,Female,11/1/2003,313,100000
Associate's Degree,234,9082500,717500,Education,Female,7/1/1997,314,90000
High School Diploma,230,9082500,717500,Agriculture,Female,6/1/1997,314,70000
Associate's Degree,995,9082500,717500,Energy,Female,5/1/2013,314,90000
Associate's Degree,559,9082500,717500,Professional and Business S.,Female,4/1/2004,314,90000
Master's Degree,699,9082500,717500,Manufacturing,Female,3/1/2007,314,150000
High School Diploma,249,9082500,717500,Retail,Female,11/1/1997,314,70000
Bachelor's Degree,1062,9082500,717500,Retail,Male,10/1/2014,314,120000
Master's Degree,918,9082500,717500,Professional and Business S.,Male,10/1/2011,314,150000
Bachelor's Degree,247,9082500,717500,Retail,Male,10/1/1997,314,120000
Bachelor's Degree,285,354000,28000,Manufacturing,Female,8/1/1998,315,120000
Bachelor's Degree,266,316000,25000,Finance,Male,3/1/1998,316,120000
Bachelor's Degree,309,316000,25000,Manufacturing,Female,2/1/1999,316,120000
Bachelor's Degree,264,8154000,646000,Finance,Male,3/1/1998,317,120000
High School Diploma,263,8154000,646000,Retail,Female,2/1/1998,317,70000
High School Diploma,251,8154000,646000,Retail,Female,11/1/1997,317,70000
Bachelor's Degree,1221,12311100,976900,Technology,Female,2/1/2019,318,120000
High School Diploma,578,63000,5000,Energy,Male,9/1/2004,319,70000
Master's Degree,670,63000,5000,Professional and Business S.,Male,8/1/2006,319,150000
Associate's Degree,17,63000,5000,Retail,Female,5/1/2021,319,90000
Associate's Degree,899,63000,5000,Energy,Female,5/1/2011,319,90000
Associate's Degree,991,63000,5000,Energy,Female,4/1/2013,319,90000
Associate's Degree,731,63000,5000,Retail,Female,11/1/2007,319,90000
High School Diploma,1074,63000,5000,Agriculture,Male,1/1/2015,319,70000
Master's Degree,1203,14376400,1142500,Education,Female,9/1/2017,320,150000
Bachelor's Degree,1148,14376400,1142500,Retail,Male,8/1/2016,320,120000
High School Diploma,1290,14376400,1142500,Agriculture,Male,7/1/2020,320,70000
Master's Degree,1243,14376400,1142500,Retail,Female,7/1/2019,320,150000
Master's Degree,1239,14376400,1142500,Manufacturing,Female,6/1/2019,320,150000
Bachelor's Degree,1186,14376400,1142500,Education,Male,5/1/2017,320,120000
Master's Degree,1279,14376400,1142500,Manufacturing,Female,4/1/2020,320,150000
High School Diploma,1258,14376400,1142500,Education,Male,11/1/2019,320,70000
High School Diploma,1218,14376400,1142500,Retail,Male,1/1/2019,320,70000
Associate's Degree,963,75960,6040,Energy,Female,9/1/2012,321,90000
Bachelor's Degree,675,75960,6040,Professional and Business S.,Female,9/1/2006,321,120000
Master's Degree,625,75960,6040,Healthcare,Female,9/1/2005,321,150000
Master's Degree,627,75960,6040,Energy,Female,9/1/2005,321,150000
Associate's Degree,863,75960,6040,Professional and Business S.,Female,8/1/2010,321,90000
Master's Degree,1095,75960,6040,Agriculture,Female,6/1/2015,321,150000
Master's Degree,1183,75960,6040,Retail,Female,4/1/2017,321,150000
Master's Degree,1135,75960,6040,Manufacturing,Female,4/1/2016,321,150000
Bachelor's Degree,751,75960,6040,Hospitality,Female,4/1/2008,321,120000
Bachelor's Degree,1035,75960,6040,Agriculture,Female,3/1/2014,321,120000
Master's Degree,843,75960,6040,Energy,Female,3/1/2010,321,150000
Master's Degree,1223,75960,6040,Professional and Business S.,Female,2/1/2019,321,150000
Bachelor's Degree,695,75960,6040,Hospitality,Female,2/1/2007,321,120000
Bachelor's Degree,311,75960,6040,Manufacturing,Female,2/1/1999,321,120000
High School Diploma,639,75960,6040,Energy,Female,12/1/2005,321,70000
Associate's Degree,875,75960,6040,Retail,Female,11/1/2010,321,90000
Master's Degree,635,75960,6040,Hospitality,Female,11/1/2005,321,150000
Master's Degree,1207,75960,6040,Energy,Female,10/1/2017,321,150000
Master's Degree,823,75960,6040,Energy,Female,10/1/2009,321,150000
Master's Degree,775,75960,6040,Retail,Female,10/1/2008,321,150000
High School Diploma,631,75960,6040,Energy,Female,10/1/2005,321,70000
Bachelor's Degree,787,75960,6040,Energy,Female,1/1/2009,321,120000
Bachelor's Degree,277,9318000,742000,Manufacturing,Male,6/1/1998,322,120000
Bachelor's Degree,268,9318000,742000,Manufacturing,Male,4/1/1998,322,120000
Bachelor's Degree,258,9318000,742000,Manufacturing,Male,1/1/1998,322,120000
Graduate,1523,413619,32947,Manufacturing,Male,12/1/2003,323,100000
High School Diploma,224,8929000,713000,Finance,Female,5/1/1997,324,70000
Master's Degree,632,125900,10100,Energy,Male,11/1/2005,325,150000
Associate's Degree,32,14181000,1140000,Energy,Female,9/1/2021,326,90000
Master's Degree,714,14181000,1140000,Retail,Male,7/1/2007,326,150000
Master's Degree,1091,14181000,1140000,Retail,Female,5/1/2015,326,150000
Master's Degree,938,14181000,1140000,Hospitality,Male,3/1/2012,326,150000
Associate's Degree,551,14181000,1140000,Finance,Female,2/1/2004,326,90000
Associate's Degree,687,14181000,1140000,Technology,Female,12/1/2006,326,90000
Master's Degree,1067,14181000,1140000,Education,Female,11/1/2014,326,150000
Associate's Degree,1019,14181000,1140000,finance,Female,11/1/2013,326,90000
Master's Degree,546,14181000,1140000,Finance,Male,1/1/2004,326,150000
Bachelor's Degree,617,89780,7220,Healthcare,Female,7/1/2005,327,120000
Bachelor's Degree,621,80520,6480,Energy,Female,8/1/2005,328,120000
Master's Degree,1147,12282200,988700,Technology,Female,7/1/2016,329,150000
Bachelor's Degree,1086,12282200,988700,Technology,Male,4/1/2015,329,120000
Bachelor's Degree,1131,12282200,988700,Retail,Female,3/1/2016,329,120000
Master's Degree,1219,12282200,988700,Education,Female,2/1/2019,329,150000
High School Diploma,1078,12282200,988700,Agriculture,Male,2/1/2015,329,70000
Master's Degree,1167,12282200,988700,Education,Female,12/1/2016,329,150000
High School Diploma,1114,12282200,988700,Professional and Business S.,Male,11/1/2015,329,70000
Bachelor's Degree,1217,12282200,988700,Technology,Female,1/1/2019,329,120000
High School Diploma,339,421000,34000,Healthcare,Female,9/1/1999,330,70000
High School Diploma,300,421000,34000,Education,Male,12/1/1998,330,70000
Bachelor's Degree,256,9266000,749000,Manufacturing,Male,1/1/1998,331,120000
Associate's Degree,242,8047500,652500,Energy,Female,9/1/1997,332,90000
Bachelor's Degree,235,8047500,652500,Retail,Male,7/1/1997,332,120000
Associate's Degree,996,8047500,652500,Hospitality,Male,6/1/2013,332,90000
Bachelor's Degree,231,8047500,652500,Healthcare,Male,6/1/1997,332,120000
High School Diploma,560,8047500,652500,Finance,Male,5/1/2004,332,70000
Associate's Degree,700,8047500,652500,Finance,Male,4/1/2007,332,90000
Master's Degree,94,115625,9375,Manufacturing,Male,12/1/2022,332,150000
Master's Degree,348,115625,9375,Manufacturing,Male,12/1/1999,332,150000
Bachelor's Degree,252,8047500,652500,Finance,Male,12/1/1997,332,120000
Bachelor's Degree,254,8047500,652500,Finance,Male,12/1/1997,332,120000
Bachelor's Degree,1063,8047500,652500,Education,Female,10/1/2014,332,120000
Associate's Degree,919,8047500,652500,Energy,Female,10/1/2011,332,90000
Associate's Degree,676,148000,12000,Energy,Male,10/1/2006,332,90000
Bachelor's Degree,294,115625,9375,Agriculture,Male,10/1/1998,332,120000
High School Diploma,33,10546000,858000,Education,Male,9/1/2021,333,70000
Master's Degree,816,10546000,858000,Energy,Male,9/1/2009,333,150000
High School Diploma,241,10546000,858000,Education,Male,9/1/1997,333,70000
Associate's Degree,715,10546000,858000,Professional and Business S.,Female,7/1/2007,333,90000
Associate's Degree,1092,10546000,858000,Energy,Male,6/1/2015,333,90000
Associate's Degree,939,10546000,858000,Professional and Business S.,Female,3/1/2012,333,90000
High School Diploma,552,10546000,858000,Hospitality,Male,3/1/2004,333,70000
Master's Degree,214,10546000,858000,Finance,Male,2/1/1997,333,150000
Associate's Degree,1068,10546000,858000,Manufacturing,Male,12/1/2014,333,90000
Associate's Degree,1020,10546000,858000,Agriculture,Male,12/1/2013,333,90000
Bachelor's Degree,688,10546000,858000,Finance,Male,1/1/2007,333,120000
Associate's Degree,547,10546000,858000,Hospitality,Female,1/1/2004,333,90000
Bachelor's Degree,71,10531000,858000,Healthcare,Male,6/1/2022,334,120000
Bachelor's Degree,229,10531000,858000,Healthcare,Male,6/1/1997,334,120000
High School Diploma,207,10531000,858000,Healthcare,Female,12/1/1996,334,70000
Bachelor's Degree,246,10531000,858000,Healthcare,Female,10/1/1997,334,120000
Bachelor's Degree,1137,11421400,931100,Retail,Female,5/1/2016,335,120000
High School Diploma,23,10516000,858000,Healthcare,Male,6/1/2021,336,70000
High School Diploma,107,10516000,858000,Healthcare,Male,3/1/2023,336,70000
High School Diploma,217,10516000,858000,Healthcare,Male,3/1/1997,336,70000
Bachelor's Degree,280,806000,66000,Retail,Male,7/1/1998,337,120000
High School Diploma,259,806000,66000,Agriculture,Female,1/1/1998,337,70000
Associate's Degree,289,292000,24000,Energy,Female,9/1/1998,338,90000
High School Diploma,70,14138000,1163000,Agriculture,Female,6/1/2022,339,70000
High School Diploma,228,14138000,1163000,Agriculture,Female,6/1/1997,339,70000
Bachelor's Degree,206,14138000,1163000,Education,Male,12/1/1996,339,120000
High School Diploma,211,14138000,1163000,Healthcare,Female,1/1/1997,339,70000
High School Diploma,1133,11371400,939100,Healthcare,Female,4/1/2016,340,70000
High School Diploma,257,5908000,492000,Agriculture,Female,1/1/1998,341,70000
Associate's Degree,680,120000,10000,Hospitality,Male,11/1/2006,342,90000
College,1120,14064200,1174700,Energy,Male,1/1/2016,343,100000
Master's Degree,1051,754000,63000,Energy,Female,7/1/2014,344,150000
Master's Degree,954,754000,63000,Hospitality,Male,7/1/2012,344,150000
Master's Degree,758,754000,63000,Education,Male,6/1/2008,344,150000
Associate's Degree,562,754000,63000,Professional and Business S.,Male,5/1/2004,344,90000
Associate's Degree,847,754000,63000,Energy,Female,4/1/2010,344,90000
Bachelor's Degree,590,754000,63000,Energy,Male,12/1/2004,344,120000
High School Diploma,1306,754000,63000,Technology,Male,11/1/2020,344,70000
Master's Degree,1111,754000,63000,Agriculture,Female,10/1/2015,344,150000
Bachelor's Degree,38,754000,63000,Agriculture,Male,10/1/1998,344,120000
Bachelor's Degree,292,754000,63000,Agriculture,Male,10/1/1998,344,120000
Bachelor's Degree,696,129200,10800,Hospitality,Male,3/1/2007,345,120000
High School Diploma,527,83000,7000,Finance,Female,8/1/2003,346,70000
Bachelor's Degree,495,83000,7000,Education,Female,12/1/2002,346,120000
College,1136,14269200,1209000,Technology,Male,5/1/2016,347,100000
High School Diploma,95,101400,8600,Retail,Female,12/1/2022,348,70000
High School Diploma,349,101400,8600,Retail,Female,12/1/1999,348,70000
Associate's Degree,633,81120,6880,Manufacturing,Female,11/1/2005,348,90000
High School Diploma,295,101400,8600,Retail,Female,10/1/1998,348,70000
Bachelor's Degree,1132,14207800,1210200,Manufacturing,Male,4/1/2016,349,120000
Bachelor's Degree,1125,11236900,958300,Technology,Female,2/1/2016,350,120000
Bachelor's Degree,22,14079000,1203000,Education,Female,6/1/2021,351,120000
Bachelor's Degree,106,14079000,1203000,Education,Female,3/1/2023,351,120000
Bachelor's Degree,216,14079000,1203000,Education,Female,3/1/1997,351,120000
Bachelor's Degree,1121,11209100,960600,Hospitality,Female,1/1/2016,352,120000
High School Diploma,1301,11784700,1024200,Retail,Female,10/1/2020,353,70000
Master's Degree,771,101200,8800,Hospitality,Female,9/1/2008,354,150000
Bachelor's Degree,674,82800,7200,Education,Male,9/1/2006,354,120000
High School Diploma,626,82800,7200,Hospitality,Male,9/1/2005,354,70000
Bachelor's Degree,958,101200,8800,Professional and Business S.,Male,8/1/2012,354,120000
Master's Degree,862,82800,7200,Finance,Male,8/1/2010,354,150000
Associate's Degree,719,101200,8800,Hospitality,Female,8/1/2007,354,90000
High School Diploma,669,101200,8800,Healthcare,Female,8/1/2006,354,70000
Associate's Degree,671,82800,7200,Finance,Female,8/1/2006,354,90000
Master's Degree,622,101200,8800,Finance,Male,8/1/2005,354,150000
Master's Degree,380,115000,10000,Healthcare,Male,8/1/2000,354,150000
Bachelor's Degree,713,179400,15600,Technology,Female,7/1/2007,354,120000
High School Diploma,666,82800,7200,Finance,Male,7/1/2006,354,70000
High School Diploma,1094,82800,7200,Agriculture,Male,6/1/2015,354,70000
Associate's Degree,708,202400,17600,Manufacturing,Male,6/1/2007,354,90000
Bachelor's Degree,612,138000,12000,Finance,Male,6/1/2005,354,120000
High School Diploma,613,78200,6800,Hospitality,Female,6/1/2005,354,70000
High School Diploma,609,82800,7200,Education,Female,5/1/2005,354,70000
High School Diploma,1182,82800,7200,Technology,Male,4/1/2017,354,70000
High School Diploma,1134,82800,7200,Education,Male,4/1/2016,354,70000
Master's Degree,799,82800,7200,Hospitality,Female,4/1/2009,354,150000
High School Diploma,750,82800,7200,Finance,Male,4/1/2008,354,70000
Associate's Degree,607,101200,8800,Finance,Female,4/1/2005,354,90000
Bachelor's Degree,1034,82800,7200,Agriculture,Male,3/1/2014,354,120000
College,985,101200,8800,Construction,Female,3/1/2013,354,100000
Master's Degree,842,82800,7200,Professional and Business S.,Male,3/1/2010,354,150000
High School Diploma,746,101200,8800,Education,Male,3/1/2008,354,70000
High School Diploma,698,101200,8800,Education,Male,3/1/2007,354,70000
Master's Degree,651,82800,7200,Energy,Female,3/1/2006,354,150000
High School Diploma,171,69000,6000,Wholesale Trade,Female,3/1/1996,354,70000
High School Diploma,1222,82800,7200,Retail,Male,2/1/2019,354,70000
Master's Degree,934,82800,7200,Finance,Male,2/1/2012,354,150000
Associate's Degree,743,82800,7200,Manufacturing,Female,2/1/2008,354,90000
Master's Degree,694,82800,7200,Finance,Male,2/1/2007,354,150000
Bachelor's Degree,684,202400,17600,Hospitality,Male,12/1/2006,354,120000
Master's Degree,638,82800,7200,Energy,Male,12/1/2005,354,150000
Bachelor's Degree,158,202400,17600,Manufacturing,Male,12/1/1995,354,120000
Master's Degree,1018,101200,8800,Professional and Business S.,Male,11/1/2013,354,150000
Master's Degree,970,82800,7200,Professional and Business S.,Male,11/1/2012,354,150000
Master's Degree,874,82800,7200,Technology,Male,11/1/2010,354,150000
Master's Degree,634,82800,7200,Energy,Male,11/1/2005,354,150000
High School Diploma,1206,82800,7200,Retail,Male,10/1/2017,354,70000
High School Diploma,822,82800,7200,Professional and Business S.,Male,10/1/2009,354,70000
High School Diploma,774,82800,7200,Technology,Male,10/1/2008,354,70000
Master's Degree,630,82800,7200,Finance,Male,10/1/2005,354,150000
Master's Degree,1027,82800,7200,Manufacturing,Female,1/1/2014,354,150000
Bachelor's Degree,786,82800,7200,Professional and Business S.,Male,1/1/2009,354,120000
Associate's Degree,1128,14102700,1226500,Education,Male,3/1/2016,355,90000
Bachelor's Degree,608,126900,11100,Hospitality,Male,5/1/2005,356,120000
Master's Degree,430,91000,8000,Finance,Male,8/1/2001,357,150000
Associate's Degree,446,91000,8000,Education,Male,12/1/2001,357,90000
Bachelor's Degree,396,91000,8000,Education,Male,12/1/2000,357,120000
Master's Degree,350,91000,8000,Manufacturing,Male,12/1/1999,357,150000
Bachelor's Degree,993,11188300,984400,Finance,Female,5/1/2013,358,120000
Associate's Degree,1124,14051600,1237500,Healthcare,Male,2/1/2016,359,90000
High School Diploma,717,183800,16200,Finance,Female,8/1/2007,360,70000
Bachelor's Degree,486,133250,11750,Education,Male,10/1/2002,361,120000
Master's Degree,170,120500,10700,Education,Male,3/1/1996,362,150000
Bachelor's Degree,162,120500,10700,Retail,Male,1/1/1996,362,120000
Bachelor's Degree,1129,11242500,998900,Construction,Female,3/1/2016,363,120000
Bachelor's Degree,701,174400,15600,Healthcare,Female,4/1/2007,364,120000
High School,1305,11673000,1045400,Education,Female,11/1/2020,365,70000
High School Diploma,1246,10230100,918700,Retail,Male,8/1/2019,366,70000
High School Diploma,1238,10230100,918700,Education,Male,6/1/2019,366,70000
High School Diploma,1282,10230100,918700,Education,Male,5/1/2020,366,70000
College,1395,3350900,301100,Financial Services,Male,11/1/1997,367,100000
Bachelor's Degree,957,11392600,1023800,Information Tech,Female,8/1/2012,368,120000
Bachelor's Degree,1396,3355700,301800,Retail,Female,12/1/1997,369,120000
College,953,11371300,1027400,Hospitality,Female,7/1/2012,370,100000
High School,949,11331000,1024200,Retail,Female,6/1/2012,371,70000
High School Diploma,729,178800,16200,Retail,Female,11/1/2007,372,70000
Master's Degree,1394,3341900,303000,Manufacturing,Female,10/1/1997,373,150000
Bachelor's Degree,668,220000,20000,Hospitality,Male,8/1/2006,374,120000
Master's Degree,4,110000,10000,Finance,Male,2/1/2021,374,150000
Master's Degree,392,121000,11000,Healthcare,Male,11/1/2000,374,150000
Master's Degree,154,121000,11000,Healthcare,Male,11/1/1995,374,150000
High School,1393,3335300,303900,Technology,Male,9/1/1997,375,70000
High School Diploma,1297,11815300,1078200,Technology,Female,9/1/2020,376,70000
College,1392,3329600,305000,Healthcare,Female,8/1/1997,377,100000
Master's Degree,1057,11288600,1037600,Education and Health,Female,9/1/2014,378,150000
Bachelor's Degree,384,87000,8000,Education,Male,9/1/2000,379,120000
High School,1289,12027800,1109000,Finance,Female,7/1/2020,380,70000
Bachelor's Degree,937,11230300,1038800,Hospitality,Female,3/1/2012,381,120000
Bachelor's Degree,1391,3321700,307900,Retail,Male,7/1/1997,382,120000
Bachelor's Degree,941,11237900,1042300,Finance,Female,4/1/2012,383,120000
High School Diploma,725,183000,17000,Education,Female,10/1/2007,384,70000
Bachelor's Degree,1053,11260000,1053100,Transportation and Utilities,Female,8/1/2014,385,120000
Bachelor's Degree,672,160000,15000,Hospitality,Male,9/1/2006,386,120000
Associate's Degree,945,11300200,1059400,Retail,Female,5/1/2012,387,90000
High School,1390,3312500,310800,Financial Services,Female,6/1/1997,388,70000
High School Diploma,1309,11515700,1082000,Hospitality,Female,12/1/2020,389,70000
College,1389,3306400,311000,Manufacturing,Male,5/1/1997,390,100000
High School Diploma,721,178200,16800,Energy,Female,9/1/2007,391,70000
High School,992,14085800,1330000,Hospitality,Male,5/1/2013,392,70000
Master's Degree,1049,11234600,1061800,Education and Health,Female,7/1/2014,393,150000
Bachelor's Degree,400,95000,9000,Healthcare,Male,1/1/2001,394,120000
High School Diploma,1293,11884200,1126500,Technology,Female,8/1/2020,395,70000
Master's Degree,1388,3298300,312900,Technology,Female,4/1/1997,396,150000
Bachelor's Degree,402,68500,6500,Finance,Male,1/1/2001,397,120000
High School,1387,3291500,313900,Healthcare,Male,3/1/1997,398,70000
Bachelor's Degree,1045,11208600,1070500,Information,Female,6/1/2014,399,120000
Associate's Degree,951,13973800,1335800,Retail,Female,6/1/2012,400,90000
High School,984,13973800,1335800,Health Care,Male,3/1/2013,400,70000
Associate's Degree,879,13973800,1335800,Manufacturing,Female,12/1/2010,400,90000
Associate's Degree,923,13973800,1335800,Energy,Female,11/1/2011,400,90000
High School Diploma,319,115000,11000,Retail,Female,4/1/1999,401,70000
Master's Degree,404,115000,11000,Agriculture,Male,2/1/2001,401,150000
Master's Degree,118,115000,11000,Agriculture,Male,2/1/1995,401,150000
High School Diploma,1154,94000,9000,Agriculture,Male,9/1/2016,402,70000
Master's Degree,962,94000,9000,Professional and Business S.,Male,9/1/2012,402,150000
Associate's Degree,867,94000,9000,Hospitality,Female,9/1/2010,402,90000
High School Diploma,770,94000,9000,Hospitality,Male,9/1/2008,402,70000
Master's Degree,1102,94000,9000,Education,Male,8/1/2015,402,150000
Associate's Degree,1007,94000,9000,Professional and Business S.,Female,8/1/2013,402,90000
High School Diploma,1242,94000,9000,Technology,Male,7/1/2019,402,70000
High School Diploma,1194,94000,9000,Retail,Male,7/1/2017,402,70000
Master's Degree,1003,94000,9000,Professional and Business S.,Female,7/1/2013,402,150000
Bachelor's Degree,376,94000,9000,Agriculture,Male,7/1/2000,402,120000
High School Diploma,1286,94000,9000,Technology,Male,6/1/2020,402,70000
