
Find the Lowest Price range for each Model in a Brand::::

+-----------------------+-------------+-----------------------+
|Pricerange             |Brand        |Model                  |
|BMW          |X5 M                   |195.0               |
|BMW          |X6                     |96.9                |
|BMW          |X7                     |93.0                |
|BMW          |Z4                     |67.0                |
|Bentley      |Bentayga               |409.99999999999994  |
|Citroen      |C5 Aircross            |29.9                |
|Datsun       |GO Plus                |4.26                |
|Datsun       |Go                     |4.03                |
|Datsun       |redi-GO                |3.84                |
|Ferrari      |812                    |520.0               |
|Ferrari      |F8 Tributo             |401.99999999999994  |
|Ferrari      |GTC4 Lusso             |4.23                |
|Ferrari      |Portofino              |350.0               |
|Honda        |All New City           |11.02               |
|Honda        |Amaze                  |6.24                |
|Honda        |City                   |9.3                 |
|Honda        |Jazz                   |7.63                |
|Honda        |WR-V                   |8.7                 |
|Hyundai      |Aura                   |5.92                |
|Hyundai      |Creta                  |10.0                |
|Hyundai      |Elantra                |17.83               |
|Hyundai      |Grand i10 Nios         |5.19                |
|Hyundai      |Kona Electric          |24.15               |
|Hyundai      |Santro                 |4.67                |
|Hyundai      |Tucson                 |22.55               |
|Hyundai      |Venue                  |6.87                |
|Hyundai      |Verna                  |9.11                |
|Hyundai      |i20                    |6.8                 |
|Jaguar       |F TYPE                 |95.12               |
|Jaguar       |F-Pace                 |66.07               |
|Jaguar       |I-Pace                 |1.06                |
|Jaguar       |XE                     |46.64               |
|Jaguar       |XF                     |55.67               |
|Jeep         |Compass                |16.99               |
|Jeep         |Wrangler               |53.9                |
|Kia          |Carnival               |24.95               |
|Kia          |Seltos                 |9.89                |
|Kia          |Sonet                  |6.79                |
|Lamborghini  |Huracan                |3.22                |
|Lamborghini  |Urus                   |310.0               |
|Lexus        |ES                     |56.55               |
|Lexus        |LC 500h                |2.1                 |
|Lexus        |LS                     |1.91                |
|Lexus        |LX                     |233.0               |
|Lexus        |NX                     |58.2                |
|Lexus        |RX                     |104.0               |
|MG           |Gloster                |29.98               |
|MG           |Hector                 |13.18               |
|MG           |Hector Plus            |13.63               |
|MG           |ZS EV                  |21.0                |
|MINI Cooper  |Clubman                |41.9                |
|MINI Cooper  |Cooper Convertible     |40.01               |
|MINI Cooper  |Countryman             |39.5                |
|MINI Cooper  |S                      |35.06               |
|Mahindra     |Alturas G4             |28.73               |
|Mahindra     |Bolero                 |8.12                |
|Mahindra     |KUV100 NXT             |5.87                |
|Mahindra     |Marazzo                |11.64               |
|Mahindra     |Scorpio                |11.98               |
|Mahindra     |Thar                   |10.0                |
|Mahindra     |XUV300                 |7.95                |
|Mahindra     |XUV500                 |13.8                |
|Maserati     |Ghibli                 |1.15                |
|Maserati     |GranCabrio             |268.0               |
|Maserati     |GranTurismo            |225.0               |
|Maserati     |Levante                |145.0               |
|Maserati     |Quattroporte           |1.64                |
|Mercedes Benz|A-Class Limousine      |39.9                |
|Mercedes Benz|AMG GLC 43 Coupe       |81.22               |
|Mercedes Benz|AMG GLE Coupe          |127.0               |
|Mercedes Benz|AMG GT                 |248.0               |
|Mercedes Benz|AMG GT 4-Door Coupe    |242.0               |
|Mercedes Benz|C Class                |49.41               |
|Mercedes Benz|C Coupe                |79.93               |
|Mercedes Benz|CLS                    |86.39               |
|Mercedes Benz|E Class                |63.6                |
|Mercedes Benz|E-Class All-Terrain    |77.25               |
|Mercedes Benz|EQC                    |104.0               |
|Mercedes Benz|G Class                |1.62                |
|Mercedes Benz|GLC Class              |57.36               |
|Mercedes Benz|GLC Coupe              |66.66               |
|Mercedes Benz|GLE                    |77.25               |
|Mercedes Benz|GLS                    |105.0               |
|Mercedes Benz|S Class                |1.42                |
|Mercedes Benz|V-Class                |71.1                |
|Nissan       |GT-R                   |212.0               |
|Nissan       |Kicks                  |9.5                 |
|Nissan       |Magnite                |5.59                |
|Porsche      |718                    |85.46               |
|Porsche      |911                    |1.64                |
|Porsche      |Cayenne                |1.2                 |
|Porsche      |Cayenne Coupe          |1.32                |
|Porsche      |Macan                  |69.98               |
|Porsche      |Panamera               |1.44                |
|Renault      |Duster                 |9.73                |
|Renault      |Kiger                  |5.45                |
|Renault      |Kwid                   |3.18                |
|Renault      |Triber                 |5.29                |
|Rolls Royce  |Cullinan               |695.0               |
|Rolls Royce  |Dawn                   |592.0               |
|Rolls Royce  |Phantom VIII           |950.0               |
|Rolls Royce  |Wraith                 |500.0               |
|Tata         |Altroz                 |5.7                 |
|Tata         |Harrier                |14.0                |
|Tata         |Nexon                  |7.1                 |
|Tata         |Nexon EV               |13.99               |
|Tata         |Safari                 |14.69               |
|Tata         |Tiago                  |4.86                |
|Tata         |Tigor                  |5.5                 |
|Tata         |Tigor EV               |10.51               |
|Toyota       |Camry                  |40.59               |
|Toyota       |Fortuner               |30.34               |
|Toyota       |Glanza                 |7.18                |
|Toyota       |Innova Crysta          |16.52               |
|Toyota       |Urban Cruiser          |8.5                 |
|Toyota       |Vellfire               |87.0                |
|Toyota       |Yaris                  |9.16                |
|Volkswagen   |Polo                   |6.17                |
|Volkswagen   |T-Roc                  |21.35               |
|Volkswagen   |Tiguan AllSpace        |34.2                |
|Volkswagen   |Vento                  |9.14                |
|Volvo        |S60                    |45.9                |
|Volvo        |S90                    |59.0                |
|Volvo        |V90 Cross Country      |65.41               |
|Volvo        |XC40                   |39.9                |
|Volvo        |XC60                   |59.9                |
|Volvo        |XC90                   |80.99               |
+-------------+-----------------------+--------------------+




